pattern: productSuccessClaimed\s*:=\s*false|productSuccessClaimed\s*=\s*false
total_matches	1526
audit/original_four_task_contract_audit.py:31:    "originalFourTaskContractCompletion.productSuccessClaimed = false",
audit/original_four_task_contract_audit.py:32:    "productSuccessClaimed := false",
audit/original_four_task_contract_audit.py:250:            blockers.append("product_success imports a final witness proving productSuccessClaimed=false")
audit/external_audit.py:58:    "originalFourTaskContractCompletion.productSuccessClaimed = false",
audit/external_audit.py:59:    "productSuccessClaimed := false",
audit/external_audit.py:421:        fail("product_success imports a final witness proving productSuccessClaimed=false")
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetNoUnivClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromLocalizedUnitChoiceRoute.lean:211:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapRawBoundaryRelationFieldsNormalizedFixedTargetFieldsSourceTriangulationFieldsClosedEmbeddingClosednessFieldsSplitTargetNoUnivClosednessNormalizedEndpointCokernelTopAndUnitWitnessComponentFieldsRoute.lean:293:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ComparisonBijectivityStrictRealizationLeftCalculusRoute.lean:326:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromTargetClosedEmbeddingClosednessToNormalizedSourceEndpointLocalizedUnitDirectRouteW1059.lean:405:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/TargetExactAtClosedRangeProductRoute.lean:181:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromBranchFullDataToTargetClosedEmbeddingClosednessNormalizedSourceEndpointDirectRouteW1133.lean:344:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/EndpointKernelCokernelFromClosednessBranch.lean:209:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromNormalizedSourceEndpointLocalizedUnitToEndpointLocalizedUnitDirectRouteW1157.lean:405:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataW987BoundaryRelationTargetUnitIsoHomInvFieldDataConstructionGuardW1464.lean:478:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataTopTargetRelationRepresentativeImageFieldSplitGuardW1349.lean:114:  productSuccessClaimed := false
