command	exit_code	artifact
lake build LeanLCAExactChallenge.Derived.W987ClosedEmbeddingEndpointHomologyFreeEndpointFactsLocalizedSelectedCochainW829StableCertificateFromDirectSourceW1534	0	console
lake env lean LeanLCAExactChallenge/Derived/OriginalFourTaskContractCompletion.lean	0	/tmp/lean-lca-original-four-contract-completion-stable-neutral-alias-20260608.log
lake env lean audit/ProductSuccessDeclarations.lean	0	/tmp/lean-lca-product-success-stable-neutral-alias-20260608.log
lake env lean audit/OriginalFourTaskCompletionDeclarations.lean	0	/tmp/lean-lca-original-four-stable-neutral-alias-20260608.log
final product-surface old stable-name scan	1	no matches
python3 audit/original_four_task_contract_audit.py --root . --contract ... --positive-witness-contract ... --terminal-outcome terminal_outcome/terminal_outcome.json	0	original_four_task_contract_audit.json
scripts/audit_no_forbidden_lean_tokens.sh .	0	forbidden_tokens.log
jq empty terminal_outcome/terminal_outcome.json run/goal_identity_20260602_human_centered_positive_witness.json	0	console
python3 audit/external_audit.py --root . --terminal-outcome terminal_outcome/terminal_outcome.json	1	external_audit.log
git diff --check for stable final-surface neutral-alias changed paths and checkpoint artifacts	0	diff_check.log
